itemID,list,condition,Q1,Q2,A,observation,sentence,prompt_template,temperature,run,chosen_speaker,confidence,logprobs_data,raw_response,timestamp
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,1,low,,,Student,2026-03-27T00:03:51.270125
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,2,low,,,Student,2026-03-27T00:03:51.348257
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,3,info,,,Examiner,2026-03-27T00:03:51.444165
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,4,low,,,Student,2026-03-27T00:03:51.539252
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,5,low,,,Student,2026-03-27T00:03:51.647637
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,6,low,,,Student,2026-03-27T00:03:51.746152
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,7,info,,,Examiner,2026-03-27T00:03:51.838388
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,8,low,,,Student,2026-03-27T00:03:51.916813
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,9,low,,,Student,2026-03-27T00:03:52.000214
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,10,info,,,Examiner,2026-03-27T00:03:52.102081
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,1,info,,,Examiner,2026-03-27T00:03:52.243231
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,2,info,,,Examiner,2026-03-27T00:03:52.333721
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,3,low,,,"The statement ""all of the students got some of",2026-03-27T00:03:52.474910
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,4,info,,,Examiner,2026-03-27T00:03:52.565674
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,5,info,,,Examiner,2026-03-27T00:03:52.667384
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,6,low,,,Student,2026-03-27T00:03:52.749054
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,7,info,,,Examiner,2026-03-27T00:03:52.844545
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,8,info,,,Examiner,2026-03-27T00:03:52.935129
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,9,low,,,Student,2026-03-27T00:03:53.012140
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,10,info,,,Examiner,2026-03-27T00:03:53.113245
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,1,info,,,Examiner,2026-03-27T00:03:53.219609
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,2,low,,,Student,2026-03-27T00:03:53.304746
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,3,info,,,Examiner,2026-03-27T00:03:53.401632
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,4,high,,,Teacher,2026-03-27T00:03:53.486477
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,5,low,,,Student,2026-03-27T00:03:53.573928
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,6,low,,,Student,2026-03-27T00:03:53.654202
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,7,low,,,Student,2026-03-27T00:03:53.731302
