itemID,condition,response_label,n,total,proportion
1,info,high,17,135,0.1259259259259259
1,info,info,64,135,0.4740740740740741
1,info,low,54,135,0.4
2,info,high,57,107,0.5327102803738317
2,info,info,34,107,0.3177570093457944
2,info,low,16,107,0.14953271028037382
3,info,high,58,135,0.42962962962962964
3,info,info,46,135,0.34074074074074073
3,info,low,31,135,0.22962962962962963
4,info,high,23,107,0.21495327102803738
4,info,info,39,107,0.3644859813084112
4,info,low,45,107,0.4205607476635514
5,info,high,79,135,0.5851851851851851
5,info,info,40,135,0.2962962962962963
5,info,low,16,135,0.11851851851851852
6,info,high,14,107,0.1308411214953271
6,info,info,28,107,0.2616822429906542
6,info,low,65,107,0.6074766355140186
7,info,high,12,135,0.08888888888888889
7,info,info,60,135,0.4444444444444444
7,info,low,63,135,0.4666666666666667
8,info,high,59,107,0.5514018691588785
8,info,info,39,107,0.3644859813084112
8,info,low,9,107,0.08411214953271028
9,info,high,29,135,0.21481481481481482
9,info,info,48,135,0.35555555555555557
9,info,low,58,135,0.42962962962962964
10,info,high,40,107,0.37383177570093457
10,info,info,41,107,0.38317757009345793
10,info,low,26,107,0.24299065420560748
11,high,high,87,135,0.6444444444444445
11,high,info,17,135,0.1259259259259259
11,high,low,31,135,0.22962962962962963
12,high,high,50,107,0.4672897196261682
12,high,info,23,107,0.21495327102803738
12,high,low,34,107,0.3177570093457944
13,high,high,81,135,0.6
13,high,info,31,135,0.22962962962962963
13,high,low,23,135,0.17037037037037037
14,high,high,54,107,0.5046728971962616
14,high,info,21,107,0.19626168224299065
14,high,low,32,107,0.29906542056074764
15,high,high,103,135,0.762962962962963
15,high,info,16,135,0.11851851851851852
15,high,low,16,135,0.11851851851851852
16,high,high,69,107,0.6448598130841121
16,high,info,29,107,0.27102803738317754
16,high,low,9,107,0.08411214953271028
17,high,high,102,135,0.7555555555555555
17,high,info,10,135,0.07407407407407407
17,high,low,23,135,0.17037037037037037
18,high,high,67,107,0.6261682242990654
18,high,info,25,107,0.2336448598130841
18,high,low,15,107,0.14018691588785046
19,high,high,87,135,0.6444444444444445
19,high,info,32,135,0.23703703703703705
19,high,low,16,135,0.11851851851851852
20,high,high,66,107,0.616822429906542
20,high,info,34,107,0.3177570093457944
20,high,low,7,107,0.06542056074766354
21,low,high,14,135,0.1037037037037037
21,low,info,31,135,0.22962962962962963
21,low,low,90,135,0.6666666666666666
22,low,high,37,107,0.34579439252336447
22,low,info,31,107,0.2897196261682243
22,low,low,39,107,0.3644859813084112
23,low,high,20,135,0.14814814814814814
23,low,info,58,135,0.42962962962962964
23,low,low,57,135,0.4222222222222222
24,low,high,34,107,0.3177570093457944
24,low,info,29,107,0.27102803738317754
24,low,low,44,107,0.411214953271028
25,low,high,17,135,0.1259259259259259
25,low,info,32,135,0.23703703703703705
25,low,low,86,135,0.6370370370370371
26,low,high,16,107,0.14953271028037382
26,low,info,33,107,0.308411214953271
26,low,low,58,107,0.5420560747663551
27,low,high,16,135,0.11851851851851852
27,low,info,38,135,0.2814814814814815
27,low,low,81,135,0.6
28,low,high,14,107,0.1308411214953271
28,low,info,27,107,0.2523364485981308
28,low,low,66,107,0.616822429906542
29,low,high,13,135,0.0962962962962963
29,low,info,57,135,0.4222222222222222
29,low,low,65,135,0.48148148148148145
30,low,high,8,107,0.07476635514018691
30,low,info,27,107,0.2523364485981308
30,low,low,72,107,0.6728971962616822
