array_idx,students_array,n_students,n_questions,framing,output_format,run,oq,iq,adj,sentence,raw_response,is_valid,timestamp
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,1,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right,True,2026-03-27T01:44:18.169711
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,2,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right,True,2026-03-27T01:44:18.658535
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,3,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right,True,2026-03-27T01:44:19.099516
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,4,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right,True,2026-03-27T01:44:19.551981
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,5,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right,True,2026-03-27T01:44:20.003371
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,6,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right,True,2026-03-27T01:44:20.451009
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,7,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right,True,2026-03-27T01:44:20.930655
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,8,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right,True,2026-03-27T01:44:21.396977
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,9,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right,True,2026-03-27T01:44:21.841572
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,10,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right,True,2026-03-27T01:44:22.291779
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,1,most,most,right,most of the students got most of the answers right,Most of the students got most of the answers right,True,2026-03-27T01:44:22.777522
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,2,most,most,right,most of the students got most of the answers right,Most of the students got most of the answers right,True,2026-03-27T01:44:23.329509
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,3,most,most,right,most of the students got most of the answers right,Most of the students got most of the answers right,True,2026-03-27T01:44:23.768156
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,4,most,most,right,most of the students got most of the answers right,Most of the students got most of the answers right,True,2026-03-27T01:44:24.204075
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,5,most,most,right,most of the students got most of the answers right,Most of the students got most of the answers right,True,2026-03-27T01:44:24.639502
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,6,most,most,right,most of the students got most of the answers right,Most of the students got most of the answers right,True,2026-03-27T01:44:25.108634
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,7,most,most,right,most of the students got most of the answers right,Most of the students got most of the answers right,True,2026-03-27T01:44:25.558712
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,8,most,most,right,most of the students got most of the answers right,Most of the students got most of the answers right,True,2026-03-27T01:44:25.997404
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,9,most,most,right,most of the students got most of the answers right,Most of the students got most of the answers right,True,2026-03-27T01:44:26.457697
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,10,most,most,right,most of the students got most of the answers right,Most of the students got most of the answers right,True,2026-03-27T01:44:26.900502
2,"[12, 12, 12, 9, 9]",5,12,high,full_sentence,1,most,most,right,most of the students got most of the answers right,Most of the students got most of the answers right,True,2026-03-27T01:44:27.412828
2,"[12, 12, 12, 9, 9]",5,12,high,full_sentence,2,most,most,right,most of the students got most of the answers right,Most of the students got most of the answers right,True,2026-03-27T01:44:27.872003
2,"[12, 12, 12, 9, 9]",5,12,high,full_sentence,3,most,most,right,most of the students got most of the answers right,Most of the students got most of the answers right,True,2026-03-27T01:44:28.379586
