array_idx,students_array,n_students,n_questions,framing,output_format,run,oq,iq,adj,sentence,raw_response,is_valid,timestamp
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,1,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right,True,2026-03-27T01:31:59.458733
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,1,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right,True,2026-03-27T01:31:59.730527
2,"[12, 12, 12, 9, 9]",5,12,high,full_sentence,1,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:32:00.038878
3,"[12, 12, 12, 0, 0]",5,12,high,full_sentence,1,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:32:00.315708
4,"[12, 12, 9, 9, 9]",5,12,high,full_sentence,1,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:32:00.602188
5,"[12, 12, 9, 3, 3]",5,12,high,full_sentence,1,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:32:00.869713
6,"[12, 12, 9, 0, 0]",5,12,high,full_sentence,1,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:32:01.147038
7,"[12, 12, 3, 3, 3]",5,12,high,full_sentence,1,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:32:01.430628
8,"[12, 12, 3, 0, 0]",5,12,high,full_sentence,1,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:32:01.712625
9,"[12, 12, 0, 0, 0]",5,12,high,full_sentence,1,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:32:02.007116
10,"[9, 9, 9, 9, 9]",5,12,high,full_sentence,1,all,most,right,all of the students got most of the answers right,all of the students got most of the answers right,True,2026-03-27T01:32:02.320968
