array_idx,students_array,n_students,n_questions,framing,output_format,run,oq,iq,adj,sentence,raw_response,is_valid,timestamp
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,1,all,most,right,all of the students got most of the answers right,"""All of the students got most of the answers right""",True,2026-03-27T01:42:03.313767
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,2,all,most,right,all of the students got most of the answers right,"""All of the students got most of the answers right""",True,2026-03-27T01:42:03.484558
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,3,INVALID,INVALID,INVALID,INVALID,Most of the students got all of the answers correct.,False,2026-03-27T01:42:03.646748
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,4,INVALID,INVALID,INVALID,INVALID,Most of the students (5 out of 5) got all of the answers right.,False,2026-03-27T01:42:03.863764
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,5,INVALID,INVALID,INVALID,INVALID,"""All of the students got most (10) of the answers right.""",False,2026-03-27T01:42:04.062473
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,6,INVALID,INVALID,INVALID,INVALID,"""Most of the students (5 out of 5) got all of their answers (12 out of 12) correct.""",False,2026-03-27T01:42:04.360925
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,7,INVALID,INVALID,INVALID,INVALID,Most of the students (5 out of 5) got all of the answers right.,False,2026-03-27T01:42:04.588815
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,8,most,all,right,most of the students got all of the answers right,"""Most of the students got all of the answers right""",True,2026-03-27T01:42:04.755040
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,9,INVALID,INVALID,INVALID,INVALID,"""All of the students got all of the answers correct.""",False,2026-03-27T01:42:04.920837
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,10,most,all,right,most of the students got all of the answers right,Most of the students got all of the answers right.,True,2026-03-27T01:42:05.075910
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,1,most,some,right,most of the students got some of the answers right,Most of the students got some of the answers right.,True,2026-03-27T01:42:05.276737
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,2,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right,True,2026-03-27T01:42:05.436622
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,3,most,some,right,most of the students got some of the answers right,Most of the students got some of the answers right.,True,2026-03-27T01:42:05.597393
