itemID,list,condition,Q1,Q2,A,observation,sentence,prompt_template,temperature,run,chosen_speaker,confidence_logprob,raw_response,logprobs_data,timestamp
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.2,1,low,,low,,2026-03-23T20:42:52.398312
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.2,2,low,,low,,2026-03-23T20:42:55.409156
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.2,1,low,,low,,2026-03-23T20:42:58.980757
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.2,2,low,,low,,2026-03-23T20:43:04.160369
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.2,1,high,,high,,2026-03-23T20:43:10.633214
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.2,2,high,,high,,2026-03-23T20:43:13.946166
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,direct_label,0.2,1,low,,low,,2026-03-23T20:43:19.835255
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,direct_label,0.2,2,low,,low,,2026-03-23T20:43:22.950695
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,direct_label,0.2,1,info,,info,,2026-03-23T20:43:26.078051
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,direct_label,0.2,2,low,,low,,2026-03-23T20:43:29.685758
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,direct_label,0.2,1,low,,low,,2026-03-23T20:43:32.758527
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,direct_label,0.2,2,low,,low,,2026-03-23T20:43:35.827212
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,direct_label,0.2,1,low,,low,,2026-03-23T20:43:38.639806
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,direct_label,0.2,2,low,,low,,2026-03-23T20:43:41.872069
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,direct_label,0.2,1,high,,high,,2026-03-23T20:43:45.225739
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,direct_label,0.2,2,info,,info,,2026-03-23T20:43:48.096095
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,direct_label,0.2,1,low,,low,,2026-03-23T20:43:51.739328
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,direct_label,0.2,2,low,,low,,2026-03-23T20:43:55.140577
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,direct_label,0.2,1,low,,low,,2026-03-23T20:43:58.372017
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,direct_label,0.2,2,low,,low,,2026-03-23T20:44:03.344204
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,1,low,,low,,2026-03-23T20:44:06.604669
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,2,low,,low,,2026-03-23T20:44:33.532465
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,1,low,,low,,2026-03-23T20:44:37.050838
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,2,low,,low,,2026-03-23T20:44:40.842095
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,1,low,,low,,2026-03-23T20:44:43.616965
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,2,info,,info,,2026-03-23T20:44:46.714210
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,direct_label,0.7,1,low,,low,,2026-03-23T20:44:49.828705
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,direct_label,0.7,2,low,,low,,2026-03-23T20:44:53.026855
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,direct_label,0.7,1,high,,high,,2026-03-23T20:44:56.070239
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,direct_label,0.7,2,low,,low,,2026-03-23T20:45:01.121935
